name,category,country,latitude,longitude,image_url
,,Cote d'Ivoire,5.3011885,-3.9633259,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée El Hadj Seydou Sana,,Cote d'Ivoire,5.3011898,-3.9585127,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée Siaka Bamba,,Cote d'Ivoire,5.3012319,-3.9662067,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée Toure Nadjah,,Cote d'Ivoire,5.3013066,-3.963383,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3014796,-3.9592771,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.301751,-3.9561483,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée Tawfike,,Cote d'Ivoire,5.3019493,-3.9598732,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.292837,-3.9483042,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.2948902,-3.9478432,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
mosqée,,Cote d'Ivoire,5.3021087,-3.9467592,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.306734,-3.9459791,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée Sangaré,,Cote d'Ivoire,5.3075943,-3.9408763,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée du 05,,Cote d'Ivoire,5.3102102,-3.9451704,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
mosqué Sénégalaise,,Cote d'Ivoire,5.3021758,-3.9545093,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3022406,-3.9565989,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3023357,-3.9571223,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3025212,-3.9576416,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3027542,-3.9688861,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3028403,-3.966625,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée Aliizat,,Cote d'Ivoire,5.3029599,-3.9666807,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée dAhl-Baldr,,Cote d'Ivoire,5.3033378,-3.9589278,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
Mosquée Rachide,,Cote d'Ivoire,5.3035875,-3.9685556,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3035888,-3.9554469,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
An Nour,,Cote d'Ivoire,5.3148929,-3.9426744,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
,,Cote d'Ivoire,5.3574812,-3.8832795,https://unsplash.com/fr/photos/un-grand-batiment-avec-deux-tours-et-un-dome-zBn742lw6Bk
